outcome,bucket,n,expected_pct,actual_pct,diff_pp,ci_lo_pct,ci_hi_pct,significant
H,0.30-0.35,19597,32.60434018030026,32.367199061080775,-0.2371411192194861,31.71563276689356,33.025677116453494,False
H,0.35-0.40,25333,37.61009144964383,36.939959736312325,-0.6701317133315066,36.34763739016681,37.53624243801193,True
H,0.40-0.45,26984,42.450194483911744,42.862436999703526,0.41224251579178306,42.27301823037272,43.453887770142714,False
H,0.45-0.50,22962,47.36057861788695,48.05766048253636,0.6970818646494126,47.411800182547765,48.7041705903239,True
H,0.50-0.55,17469,52.424014971023816,54.301906233900056,1.8778912628762412,53.5623231075125,55.039597715715246,True
H,0.55-0.60,13277,57.36832372477616,58.98922949461475,1.6209057698385876,58.15010086693163,59.823157695236596,True
H,0.60-0.65,8701,62.32840782021085,63.843236409608096,1.5148285893972435,62.82779103131434,64.84646325953916,True
H,0.65-0.70,6043,67.35889899100368,71.0408737382095,3.6819747472058184,69.88418492003011,72.17082773318707,True
H,0.70-0.75,3857,72.3037824123384,75.68058076225044,3.3767983499120358,74.30151865047992,77.00853768542363,True
H,0.75-0.80,2665,77.4059254881845,82.62664165103189,5.220716162847405,81.14144824944901,84.01790777977355,True
H,0.80-1.00,2120,83.85056064571963,88.44339622641509,4.592835580695464,87.01238382642991,89.73533596585592,True
D,0.30-0.35,22393,31.14877722738284,32.77810029920064,1.629323071817801,32.166281001590505,33.39582754142833,True
D,0.35-0.40,157,36.099475458582,39.490445859872615,3.390970401290616,32.18263178722106,47.300288054411965,False
D,0.40-0.45,23,42.41205067597883,47.82608695652174,5.414036280542906,29.23686953994572,67.03757013578151,False
D,0.45-0.50,9,46.4156704802993,66.66666666666666,20.250996186367367,35.419734749908976,87.9418401317257,False
D,0.50-0.55,7,52.65776459910442,57.14285714285714,4.485092543752723,25.04542304090258,84.17830777373732,False
D,0.55-0.60,4,58.38610375238338,100.0,41.61389624761662,51.009997959600085,100.0,False
D,0.60-0.65,4,61.64703143751397,75.0,13.352968562486033,30.06360524426366,95.44139373553637,False
D,0.70-0.75,2,72.69352027917495,100.0,27.30647972082505,34.23719528896193,100.0,False
A,0.30-0.35,27658,32.37116193961988,32.283606913008896,-0.08755502661098591,31.735059461718972,32.83707517157312,False
A,0.35-0.40,18847,37.366886751561836,37.55504854884067,0.18816179727882965,36.86626894623319,38.24890044758315,False
A,0.40-0.45,12524,42.300068915242505,43.48450974129671,1.184440826054206,42.61840692970964,44.354608437917605,True
A,0.45-0.50,7841,47.27953107728017,48.20813671725545,0.9286056399752829,47.103268996868124,49.314759379893474,False
A,0.50-0.55,5053,52.37181760415906,53.552345141500105,1.1805275373410362,52.17500838570602,54.92428458008513,False
A,0.55-0.60,3476,57.34089466966219,59.89643268124281,2.555538011580616,58.257043705928325,61.51397115865631,True
A,0.60-0.65,2279,62.31292148933917,64.50197455024134,2.1890530609021686,62.51447979794232,66.44066102304149,True
A,0.65-0.70,1621,67.31246345144837,69.95681677976557,2.644353328317206,67.67998754741099,72.13927852750977,True
A,0.70-0.75,1011,72.26016616712158,75.96439169139467,3.704225524273086,73.2352753958487,78.49693581819693,True
A,0.75-0.80,562,77.19140936277121,81.13879003558719,3.947380672815981,77.69710643771273,84.15765998455105,True
A,0.80-1.00,248,83.06049689511545,83.87096774193549,0.8104708468200328,78.78243335372345,87.92616443155111,False
