outcome,closing_bucket,movement,n,closing_prob_pct,actual_pct,diff_pp,ci_lo_pct,ci_hi_pct
home,0.20-0.30,drift (<= -2pp),2230,25.72814095492882,23.54260089686099,-2.185540058067831,21.82810297738435,25.348097877680754
home,0.20-0.30,stable,4222,25.79066247994349,24.348649928943626,-1.4420125509998605,23.07772610391697,25.666211671696765
home,0.20-0.30,steam (>= +2pp),721,26.115466450026,25.104022191400833,-1.011444258625166,22.07649707530221,28.395440517683618
home,0.30-0.40,drift (<= -2pp),3695,34.93000259494578,33.7212449255751,-1.2087576693706803,32.21448899157808,35.26181494098285
home,0.30-0.40,stable,7879,35.25947882115673,34.87752252823962,-0.3819562929171072,33.83277633801865,35.93700820262213
home,0.30-0.40,steam (>= +2pp),1954,35.591991979804234,34.85158648925282,-0.7404054905514157,32.77038147467729,36.99223874955331
home,0.40-0.50,drift (<= -2pp),3004,44.60466682564638,44.30758988015979,-0.29707694548659624,42.53957021541539,46.090150179435184
home,0.40-0.50,stable,7840,44.575833905992994,45.33163265306123,0.7557987470682315,44.23222415151904,46.43561391395132
home,0.40-0.50,steam (>= +2pp),3371,45.0992731050529,45.68377336102047,0.5845002559675683,44.00803758765504,47.369335501499734
home,0.50-0.60,drift (<= -2pp),1456,54.24771425710221,54.18956043956044,-0.058153817541772845,51.62261535015503,56.73445571837733
home,0.50-0.60,stable,4273,54.47588438125335,55.88579452375381,1.409910142500459,54.392390377175026,57.368625041305755
home,0.50-0.60,steam (>= +2pp),2688,54.71262114181427,55.84077380952381,1.1281526677095477,53.95648486756409,57.70839169872423
home,0.60-0.70,drift (<= -2pp),659,64.32702257758221,66.31259484066769,1.9855722630854666,62.61863004886878,69.8174753494647
home,0.60-0.70,stable,2057,64.55299174894918,69.0325717063685,4.479579957419311,67.00053518262999,70.99365127012796
home,0.60-0.70,steam (>= +2pp),1524,64.40642507373782,66.33858267716536,1.9321576034275312,63.9275931436991,68.6674088512721
home,0.70-0.80,drift (<= -2pp),277,74.32576926420641,78.70036101083032,4.374591746623913,73.50320188559647,83.11234225031501
home,0.70-0.80,stable,1157,74.55319532924895,78.13310285220398,3.579907522955028,75.66034989487788,80.419652751478
home,0.70-0.80,steam (>= +2pp),704,74.53803377493328,76.70454545454545,2.166511679612171,73.44213212374818,79.67709681108695
home,0.80-1.00,drift (<= -2pp),59,82.63409492764202,93.22033898305084,10.586244055408823,83.82425011833288,97.33218129016085
home,0.80-1.00,stable,543,83.89143383236436,87.66114180478822,3.7697079724238525,84.6273490631903,90.16579030294425
home,0.80-1.00,steam (>= +2pp),270,84.15548484105811,85.55555555555556,1.4000707144974367,80.86327870180776,89.25024678153734
away,0.20-0.30,drift (<= -2pp),4032,25.101468562734215,23.46230158730159,-1.6391669754326266,22.179907386220897,24.7952167118111
away,0.20-0.30,stable,10797,25.25359466203726,23.488005927572473,-1.7655887344647847,22.697886186807796,24.296985027672388
away,0.20-0.30,steam (>= +2pp),2132,25.585591974615944,24.43714821763602,-1.1484437569799222,22.660116031534432,26.306136896585326
away,0.30-0.40,drift (<= -2pp),2479,34.3198916584428,32.79548204921339,-1.5244096092294046,30.97524636038686,34.66895744222383
away,0.30-0.40,stable,8234,34.34253198185122,34.40612096186544,0.06358898001422308,33.38748173158344,35.439304158545845
away,0.30-0.40,steam (>= +2pp),2944,35.021031691399706,35.971467391304344,0.9504356999046393,34.25716632099204,37.72233217037872
away,0.40-0.50,drift (<= -2pp),1118,44.242583497687036,45.97495527728086,1.732371779593822,43.07229629805854,48.90518073613237
away,0.40-0.50,stable,3540,44.11301445087904,45.50847457627118,1.395460125392145,43.873767844988464,47.15291912657369
away,0.40-0.50,steam (>= +2pp),2092,44.489899640303,47.17973231357552,2.689832673272524,45.047647709822186,49.32215580968042
away,0.50-0.60,drift (<= -2pp),460,54.47335052238878,59.56521739130435,5.091866868915574,55.01902265293093,63.95297123463759
away,0.50-0.60,stable,1374,54.416400477604384,54.22125181950509,-0.19514865809929782,51.57874503438692,56.84021981614452
away,0.50-0.60,steam (>= +2pp),1158,54.63655162603146,56.82210708117444,2.1855554551429734,53.951250680883014,59.64784923084333
away,0.60-0.70,drift (<= -2pp),234,64.15116423290578,65.8119658119658,1.6608015790600228,59.522770219535346,71.59037399072895
away,0.60-0.70,stable,686,64.58414789342517,66.90962099125365,2.3254730978284788,63.30282247745408,70.32808641525405
away,0.60-0.70,steam (>= +2pp),614,64.5301285169915,69.38110749185668,4.850978974865172,65.62420175445038,72.89699850140808
away,0.70-0.80,drift (<= -2pp),76,73.241666865331,78.94736842105263,5.705701555721632,68.5041494319587,86.60496661781988
away,0.70-0.80,stable,322,74.10533293298404,79.5031055900621,5.397772657078059,74.7583148927815,83.55222617993601
away,0.70-0.80,steam (>= +2pp),306,74.21952400661455,78.43137254901961,4.211848542405061,73.48556073270633,82.67216631233862
away,0.80-1.00,drift (<= -2pp),4,82.47660962795072,100.0,17.523390372049274,51.009997959600085,100.0
away,0.80-1.00,stable,59,82.54583993047953,77.96610169491525,-4.5797382355642675,65.86705755334911,86.64592747567626
away,0.80-1.00,steam (>= +2pp),51,83.0846125524308,80.3921568627451,-2.692455689685702,67.54165732550456,88.98477516370072
