group,outcome,bucket,n,expected_pct,actual_pct,diff_pp,ci_lo_pct,ci_hi_pct,significant
2012-2015,H,0.30-0.35,4886,32.60644863067048,31.887024150634463,-0.7194244800360128,30.594913798535377,33.207594650818066,False
2012-2015,H,0.35-0.40,7221,37.66184300420412,37.34939759036144,-0.3124454138426769,36.24066359526946,38.47158476737976,False
2012-2015,H,0.40-0.45,7636,42.47056160769582,41.788894709271865,-0.6816668984239549,40.687035891464205,42.899011232863614,False
2012-2015,H,0.45-0.50,6424,47.32439086898602,48.08530510585305,0.7609142368670274,46.86500131871298,49.30789752807876,False
2012-2015,H,0.50-0.55,4713,52.35410014632512,54.23297262889879,1.878872482573668,52.807721021616594,55.651329203856314,True
2012-2015,H,0.55-0.60,3264,57.39431771189197,59.19117647058824,1.7968587586962625,57.49521587237626,60.86552719423995,True
2012-2015,H,0.60-0.65,2098,62.322280980694586,63.01239275500477,0.6901117743101759,60.92453203217233,65.05268718358589,False
2012-2015,H,0.65-0.70,1404,67.33977810997573,70.01424501424502,2.6744669042692903,67.56552844659952,72.3537351978332,True
2012-2015,H,0.70-0.75,916,72.30803243680934,78.05676855895196,5.748736122142617,75.2624504167987,80.61673573873068,True
2012-2015,H,0.75-0.80,688,77.46521297085371,85.46511627906976,7.99990330821605,82.6344637740449,87.90191333886648,True
2012-2015,H,0.80-1.00,509,83.90924903659503,87.22986247544205,3.32061343884702,84.0489002384954,89.85306091286205,True
2016-2019,H,0.30-0.35,4237,32.64317211422136,33.49067736606089,0.8475052518395365,32.08507979312083,34.9261851407074,False
2016-2019,H,0.35-0.40,5701,37.626554381662196,36.48482722329416,-1.1417271583680388,35.244703176696476,37.743153313481976,False
2016-2019,H,0.40-0.45,5859,42.44597463022705,43.91534391534391,1.4693692851168616,42.64894893783322,45.18971277869688,True
2016-2019,H,0.45-0.50,4951,47.300577990197596,47.88931528984043,0.5887372996428386,46.49996117414483,49.281942328078124,False
2016-2019,H,0.50-0.55,3643,52.428840285098445,54.32335986824046,1.894519583142018,52.7020673041431,55.935543937321306,True
2016-2019,H,0.55-0.60,2734,57.40947212771733,58.449158741770304,1.0396866140529704,56.5912683948954,60.283338229534586,False
2016-2019,H,0.60-0.65,1712,62.35573055990884,63.43457943925234,1.078848879343497,61.12545196129998,65.68354952228684,False
2016-2019,H,0.65-0.70,1226,67.39199233587962,73.16476345840131,5.7727711225216805,70.61486583366673,75.56994365724657,True
2016-2019,H,0.70-0.75,777,72.39061788494958,74.25997425997426,1.8693563750246778,71.0717022984075,77.20953681590198,False
2016-2019,H,0.75-0.80,650,77.48691010909265,81.6923076923077,4.205397583215054,78.53592492367383,84.47627864367337,True
2016-2019,H,0.80-1.00,619,83.96140059754181,89.17609046849758,5.214689870955769,86.4825576435727,91.38635798441362,True
2020-2022,H,0.30-0.35,3611,32.56866427614094,30.794793685959572,-1.7738705901813756,29.310124256773417,32.320283006438345,True
2020-2022,H,0.35-0.40,4015,37.58872727982305,37.11083437110834,-0.47789290871470547,35.629471267232745,38.61683891329291,False
2020-2022,H,0.40-0.45,4102,42.444228224491525,43.12530472940029,0.6810765049087675,41.616835050249584,44.64663892302791,False
2020-2022,H,0.45-0.50,3331,47.34558976880961,47.22305613929751,-0.12253362951210045,45.531845461104126,48.920664667113044,False
2020-2022,H,0.50-0.55,2439,52.41478174668654,54.284542845428454,1.8697610987419067,52.302288912387894,56.25332107886164,False
2020-2022,H,0.55-0.60,1891,57.35285041481974,60.70861977789529,3.3557693630755447,58.48770976621053,62.88610849912627,True
2020-2022,H,0.60-0.65,1243,62.37875757877725,66.13032984714401,3.751572268366765,63.45318426004821,68.70807824514891,True
2020-2022,H,0.65-0.70,896,67.34685278422499,71.65178571428571,4.304932930060723,68.61314300481315,74.50555699749835,True
2020-2022,H,0.70-0.75,578,72.24073865451108,73.87543252595155,1.6346938714404846,70.14464485083877,77.29094586663486,False
2020-2022,H,0.75-0.80,414,77.41727521910032,79.71014492753623,2.2928697084359184,75.57124570402581,83.3027390787244,False
2020-2022,H,0.80-1.00,371,83.70175781772829,88.67924528301887,4.977487465290576,85.05083048797812,91.51484418633764,True
2023-present,H,0.30-0.35,3169,32.59616579168937,32.53392237298832,-0.06224341870105232,30.924725470098846,34.18541428601126,False
2023-present,H,0.35-0.40,3953,37.548067851090345,36.57981280040475,-0.9682550506855903,35.09200832100111,38.0936759378785,False
2023-present,H,0.40-0.45,4399,42.44934356959183,43.44169129347579,0.9923477238839573,41.98323374348841,44.91159345174841,False
2023-present,H,0.45-0.50,3678,47.41900071011017,47.47145187601958,0.05245116590940624,45.86107643319714,49.08710384701917,False
2023-present,H,0.50-0.55,2917,52.44076706890688,53.51388412752828,1.0731170586213978,51.7004300323327,55.31809503934525,False
2023-present,H,0.55-0.60,2103,57.327200240317964,59.58155016642891,2.2543499261109434,57.46851514269339,61.65964332921071,True
2023-present,H,0.60-0.65,1401,62.300804916182194,61.88436830835118,-0.41643660783101666,59.31195029081616,64.3917896895489,False
2023-present,H,0.65-0.70,1017,67.42528540591947,72.46804326450345,5.042757858583979,69.64207361286807,75.12491080469485,True
2023-present,H,0.70-0.75,701,72.31143862908628,75.89158345221114,3.5801448231248534,72.5894652510248,78.9114677245544,True
2023-present,H,0.75-0.80,456,77.36970277875346,81.7982456140351,4.428542835281624,77.99580896809883,85.06938565544112,True
2023-present,H,0.80-1.00,368,83.67695281892313,87.77173913043478,4.094786311511656,84.02877855215603,90.73423881868143,True
2012-2015,D,0.30-0.35,5152,30.80264891627454,33.05512422360248,2.252475307327945,31.78363056885538,34.351869016702096,True
2012-2015,D,0.35-0.40,20,37.53036430806754,45.0,7.469635691932464,25.819502085709296,65.79179916924002,False
2012-2015,D,0.40-0.45,10,42.53326725419259,70.0,27.46673274580741,39.67732199795652,89.2210712513788,False
2012-2015,D,0.45-0.50,2,46.68731375740326,0.0,-46.68731375740326,0.0,65.76280471103807,False
2012-2015,D,0.50-0.55,5,52.35286376090793,80.0,27.647136239092074,37.55282641185388,96.37768390302125,False
2012-2015,D,0.55-0.60,2,58.53553120936912,100.0,41.46446879063088,34.23719528896193,100.0,False
2012-2015,D,0.60-0.65,3,62.184769661529735,66.66666666666666,4.481897005136926,20.76549551264879,93.85096847238394,False
2012-2015,D,0.70-0.75,2,72.69352027917495,100.0,27.30647972082505,34.23719528896193,100.0,False
2016-2019,D,0.30-0.35,5912,31.186063376934236,33.23748308525033,2.051419708316099,32.04791272664989,34.448823764739586,True
2016-2019,D,0.35-0.40,15,36.04258706908004,20.0,-16.042587069080046,7.047420643610414,45.18593533465045,False
2016-2019,D,0.40-0.45,9,42.16987946724252,33.33333333333333,-8.836546133909184,12.058159868274293,64.58026525009102,False
2016-2019,D,0.45-0.50,3,46.731454940922475,66.66666666666666,19.935211725744185,20.76549551264879,93.85096847238394,False
2016-2019,D,0.50-0.55,2,53.42001669459566,0.0,-53.42001669459566,0.0,65.76280471103807,False
2016-2019,D,0.55-0.60,2,58.236676295397636,100.0,41.763323704602364,34.23719528896193,100.0,False
2016-2019,D,0.60-0.65,1,60.03381676546664,100.0,39.96618323453336,20.654329147389294,100.0,False
2020-2022,D,0.30-0.35,4067,31.26128781432051,32.82517826407671,1.5638904497562056,31.398778409948825,34.28399342769771,True
2020-2022,D,0.35-0.40,23,35.73240620601032,39.130434782608695,3.3980285765983775,22.157377982382144,59.21482039625402,False
2020-2022,D,0.40-0.45,1,40.16184971098266,0.0,-40.16184971098266,0.0,79.34567085261071,False
2020-2022,D,0.45-0.50,2,47.004751638604425,100.0,52.995248361395575,34.23719528896193,100.0,False
2023-present,D,0.30-0.35,2529,31.12916050046693,32.977461447212335,1.848300946745407,31.17217045525277,34.83438913378746,True
2023-present,D,0.35-0.40,11,35.87021242582438,63.63636363636363,27.76615121053926,35.37967768916373,84.83377638586862,False
2023-present,D,0.40-0.45,2,42.937980469695724,0.0,-42.937980469695724,0.0,65.76280471103807,False
2012-2015,A,0.30-0.35,7679,32.35661537651652,31.98333116291184,-0.37328421360468544,30.9493482012886,33.035331633839064,False
2012-2015,A,0.35-0.40,4836,37.33799393677214,37.882547559966916,0.5445536231947712,36.52545167868973,39.25887977546365,False
2012-2015,A,0.40-0.45,2989,42.23813749042799,44.3626630980261,2.12452560759811,42.58994111699321,46.14985720711457,True
2012-2015,A,0.45-0.50,1749,47.228259489978285,45.85477415666095,-1.373485333317337,43.531150926898405,48.196567082532674,False
2012-2015,A,0.50-0.55,1098,52.364731661881315,53.18761384335154,0.8228821814702303,50.23014413571971,56.1228561503468,False
2012-2015,A,0.55-0.60,693,57.43085512834456,56.99855699855701,-0.4322981297875561,53.28388257116017,60.636067098893975,False
2012-2015,A,0.60-0.65,469,62.360490122419385,64.39232409381663,2.0318339713972455,59.957753804214875,68.59303360535314,False
2012-2015,A,0.65-0.70,341,67.35750880825599,67.44868035190615,0.09117154365017033,62.30489977851364,72.20369779208109,False
2012-2015,A,0.70-0.75,231,72.31486432236579,76.19047619047619,3.8756118681103957,70.29776141838151,81.22632971368367,False
2012-2015,A,0.75-0.80,145,77.06452460529859,77.93103448275862,0.866509877460031,70.50870256639551,83.91156703565123,False
2012-2015,A,0.80-1.00,46,82.10298295352287,82.6086956521739,0.5057126986510507,69.27636765607747,90.91431643111075,False
2016-2019,A,0.30-0.35,6087,32.37219424429969,32.561195991457204,0.1890017471575134,31.39528972804565,33.74910017038809,False
2016-2019,A,0.35-0.40,4012,37.33125572026615,37.013958125623134,-0.3172975946430179,35.532940881332834,38.519820562246025,False
2016-2019,A,0.40-0.45,2495,42.304590050759536,43.326653306613224,1.022063255853689,41.39397091619085,45.27985426744623,False
2016-2019,A,0.45-0.50,1600,47.24307380888555,51.625,4.381926191114449,49.17533325952978,54.066882181197016,True
2016-2019,A,0.50-0.55,1022,52.443152717325646,52.935420743639924,0.4922680263142798,49.86993600449442,55.97892019318756,False
2016-2019,A,0.55-0.60,761,57.28396885207583,57.95006570302233,0.6660968509465071,54.41142226995163,61.40884692042713,False
2016-2019,A,0.60-0.65,515,62.22774808540558,66.60194174757281,4.374193662167237,62.41886988651184,70.5391658608145,True
2016-2019,A,0.65-0.70,383,67.22297401591176,69.45169712793734,2.228723112025577,64.66434129074317,73.85271581997088,False
2016-2019,A,0.70-0.75,268,72.28173599820616,73.13432835820896,0.8525923600027907,67.52791071203032,78.08688849456648,False
2016-2019,A,0.75-0.80,137,77.47110737615172,81.75182481751825,4.280717441366521,74.44828940346623,87.32323264683708,False
2016-2019,A,0.80-1.00,68,82.623392823611,82.35294117647058,-0.2704516471404128,71.63933737056787,89.60651461491128,False
2020-2022,A,0.30-0.35,4454,32.36314843836398,31.477323753929053,-0.8858246844349271,30.1298347645966,32.85673703284009,False
2020-2022,A,0.35-0.40,3250,37.42300636829024,38.98461538461538,1.561609016325144,37.32176241274197,40.67347865861197,False
2020-2022,A,0.40-0.45,2282,42.348564938634816,44.566170026292724,2.217605087657909,42.53766211557121,46.61294219576864,True
2020-2022,A,0.45-0.50,1474,47.289524477812904,48.43962008141113,1.1500956035982224,45.89566642290297,50.99168605113755,False
2020-2022,A,0.50-0.55,956,52.42573765490728,52.51046025104602,0.08472259613874211,49.34118888593422,55.65963625021324,False
2020-2022,A,0.55-0.60,593,57.33290416141589,63.23777403035413,5.9048698689382455,59.283369639049255,67.0217672682977,True
2020-2022,A,0.60-0.65,460,62.29566843036126,66.95652173913044,4.660853308769175,62.53312433244768,71.09904665006016,True
2020-2022,A,0.65-0.70,310,67.36119305993917,72.25806451612902,4.896871456189855,67.02462395678242,76.94660229238276,False
2020-2022,A,0.70-0.75,205,72.31155174438288,74.14634146341463,1.8347897190317486,67.74740489544537,79.65694366346243,False
2020-2022,A,0.75-0.80,101,77.1629636395483,82.17821782178217,5.015254182233875,73.57926525531545,88.41902549949941,False
2020-2022,A,0.80-1.00,65,83.07736326448372,86.15384615384616,3.076482889362442,75.73167852534054,92.54099381231576,False
2023-present,A,0.30-0.35,4479,32.404571141470086,31.904442956016972,-0.5001281854531137,30.555390829941132,33.28450929055388,False
2023-present,A,0.35-0.40,3168,37.36920369400804,36.994949494949495,-0.3742541990585435,35.33043361351565,38.69096770740782,False
2023-present,A,0.40-0.45,2278,42.34725214092713,42.18612818261633,-0.16112395831080484,40.17289182561168,44.22567466559438,False
2023-present,A,0.45-0.50,1502,47.31126161844561,47.66977363515313,0.3585120167075184,45.15301906851942,50.198417629736234,False
2023-present,A,0.50-0.55,1015,52.324487129969555,53.99014778325123,1.6656606532816753,50.91461484075441,57.03559056899721,False
2023-present,A,0.55-0.60,711,57.30717556958312,61.18143459915611,3.8742590295729906,57.54826974544181,64.69442010361006,True
2023-present,A,0.60-0.65,443,62.388722420284914,63.20541760722348,0.8166951869385652,58.618996718561476,67.56477847157302,False
2023-present,A,0.65-0.70,319,67.36357036124488,69.59247648902821,2.2289061277833255,64.33589916951897,74.3827789686144,False
2023-present,A,0.70-0.75,199,72.22542136133126,77.88944723618091,5.664025874849655,71.62581857078116,83.09668411111448,False
2023-present,A,0.75-0.80,106,77.0300358685739,81.13207547169812,4.102039603124219,72.64572909225124,87.44079550316617,False
2023-present,A,0.80-1.00,29,82.62653933971886,72.41379310344827,-10.212746236270586,54.28252365556403,85.30141866149725,False
