model,n,brier,logloss,brier_vs_baseline,brier_p_value,logloss_vs_baseline,logloss_p_value,brier_skill_pct,scope,n_eff_median
market,38732,0.5971471610124117,0.999073591965668,0.0,,0.0,,0.0,global,100.0
adj,38732,0.5974682559595176,0.9994633108166162,0.0003210949471057582,0.0444324636354505,0.00038971885094837963,0.12276987868168177,-0.05377149353962274,global,100.0
market,38732,0.5971471610124117,0.999073591965668,0.0,,0.0,,0.0,same_league,100.0
adj,38732,0.5974386686408136,0.9995501630247497,0.00029150762840196234,0.06339656321244802,0.000476571059081755,0.05875481904138358,-0.04881671511385299,same_league,100.0
market,38732,0.5971471610124117,0.999073591965668,0.0,,0.0,,0.0,league_group,100.0
adj,38732,0.5975284408367189,0.999651109148528,0.0003812798243071737,0.015589039410566885,0.0005775171828601158,0.022137116274945745,-0.06385022808459428,league_group,100.0
