season,model,n,brier_market,brier_model,brier_diff,p_value
2122,isotonic,5671,0.5935460565062732,0.5935819715014338,3.5914995160603265e-05,0.9350712731499147
2122,bucket,5671,0.5935460565062732,0.5935071467198691,-3.8909786404103996e-05,0.9316971938181737
2223,isotonic,5605,0.5886798799844475,0.5880792866328066,-0.0006005933516407663,0.16063099352994414
2223,bucket,5605,0.5886798799844475,0.5886991666131267,1.928662867930175e-05,0.9653544372824743
2324,isotonic,5602,0.5838090347533632,0.582712454508817,-0.0010965802445461656,0.013028734961652688
2324,bucket,5602,0.5838090347533632,0.582995334978081,-0.0008136997752821709,0.07584273002961073
2425,isotonic,5485,0.588123614213853,0.5880054039306144,-0.0001182102832384618,0.7935345978273238
2425,bucket,5485,0.588123614213853,0.5881346912002099,1.1076986357007646e-05,0.981126108837908
2526,isotonic,5449,0.5953153835588231,0.5947541192755867,-0.0005612642832362542,0.18747754161051455
2526,bucket,5449,0.5953153835588231,0.5947387727408466,-0.0005766108179764071,0.21575215188323638
