league,n,p_home_mean,p_draw_mean,home_rate,draw_rate,avg_goals,overround,n_books,home_bias_pp,draw_bias_pp
ARG,6353,0.4231976597533631,0.2960050705570975,0.430820084999213,0.3023768298441681,2.223831260821659,1.0708507714864501,0.0,0.7622425245849884,0.6371759287070566
AUT,2668,0.43116614147671883,0.24587429076712244,0.421664167916042,0.24887556221889057,2.9062968515742127,1.0687147246796536,0.0,-0.9501973560676835,0.30012714517681227
B1,4050,0.4433060928848497,0.24899787602856704,0.44666666666666666,0.2471604938271605,2.8518518518518516,1.070665372015418,18.898518518518518,0.3360573781816978,-0.18373822014065566
BRA,5575,0.46410093822112214,0.2740880046459261,0.484304932735426,0.26905829596412556,2.398206278026906,1.0678943623449433,0.0,2.020399451430388,-0.5029708681800527
CHN,3007,0.4419598797210943,0.24017154045526173,0.45327569005653473,0.25440638510143,2.9221815763219157,1.0803162014090444,0.0,1.1315810335440435,1.4234844646168254
D1,4608,0.4447970598129586,0.2412960069800979,0.4463975694444444,0.24674479166666666,3.036892361111111,1.0520182845235124,21.90625,0.16005096314858358,0.5448784686568758
D2,4626,0.428844094423098,0.26633160835515385,0.4293125810635538,0.27799394725464766,2.8082576740164287,1.0696884657422878,21.054907047124946,0.04684866404557897,1.1662338899493807
DNK,2994,0.42280654227511866,0.2587166420896733,0.4301937207748831,0.2608550434201737,2.7992651970607882,1.0650627737134253,0.0,0.7387178499764446,0.21384013305003613
E0,5730,0.44236820390732,0.24486314679814108,0.4455497382198953,0.2394415357766143,2.799301919720768,1.0475391363095958,22.39458987783595,0.3181534312575285,-0.5421611021526773
E1,8349,0.4267916897167724,0.27341482836299946,0.430231165409031,0.2692538028506408,2.5637800934243624,1.0595899539718985,22.00275482093664,0.3439475692258609,-0.41610255123586404
E2,8188,0.4204225998280528,0.2708522855407384,0.42904250122129944,0.26160234489496825,2.6159013190034197,1.0690903981012578,22.10771861260381,0.8619901393246643,-0.9249940645770172
E3,8228,0.4164911573816193,0.27549553423152057,0.4202722411278561,0.26981040350024305,2.5466699076324746,1.07072365016573,21.945308701993195,0.3781083746236813,-0.5685130731277521
EC,8109,0.42571922542198704,0.2627845913215648,0.4284128745837958,0.25255888518929587,2.740781847330127,1.0855635495083145,21.069182389937108,0.2693649161808753,-1.022570613226892
F1,5404,0.44025090465864714,0.262916918638849,0.44282013323464103,0.2599925980754996,2.6522945965951146,1.0566303157559842,23.56698741672835,0.2569228575993898,-0.29243205633493474
F2,5494,0.4233535055506667,0.29255222193780384,0.42464506734619584,0.298143429195486,2.401528940662541,1.074729968039917,22.695303967965053,0.12915617955291392,0.559120725768214
FIN,2681,0.4285471404717412,0.26247934967002395,0.43901529280119356,0.25512868332711675,2.637075718015666,1.0727041695892316,0.0,1.0468152329452363,-0.7350666342907208
