model,n,brier,logloss,brier_vs_baseline,brier_p_value,logloss_vs_baseline,logloss_p_value,brier_skill_pct
market,27812,0.5898813524889709,0.9886269230805039,0.0,,0.0,,0.0
isotonic,27812,0.5894134822598879,0.9882954419484682,-0.0004678702290829731,0.016861988474596856,-0.00033148113203573787,0.5257096407330848,0.07931598907285897
bucket,27812,0.5896026203926432,0.9881343080726461,-0.00027873209632770624,0.17356753113870171,-0.0004926150078577207,0.1670941676323765,0.04725223049543148
