outcome,bin_lo,bin_hi,n,predicted,actual,gap_pp,model
H,0.0,0.1,330,0.08209123624652966,0.06666666666666667,-1.542456957986299,market
H,0.1,0.2,1914,0.15725734359596974,0.12173458725182863,-3.552275634414111,market
H,0.2,0.30000000000000004,4901,0.257197045705508,0.2450520301979188,-1.21450155075892,market
H,0.30000000000000004,0.4,9737,0.35333349076550574,0.3440484748895964,-0.9285015875909353,market
H,0.4,0.5,10536,0.44675541306918226,0.45074031890660593,0.3984905837423669,market
H,0.5,0.6000000000000001,6326,0.5449515155301211,0.5648118874486248,1.986037191850365,market
H,0.6000000000000001,0.7000000000000001,2898,0.6453192741060388,0.6746031746031746,2.9283900497135806,market
H,0.7000000000000001,0.8,1502,0.7448309345739952,0.7762982689747004,3.146733440070526,market
H,0.8,0.9,578,0.8350337225318765,0.889273356401384,5.423963386950758,market
H,0.9,1.0,10,0.9100808009692443,0.8,-11.008080096924422,market
D,0.0,0.1,158,0.08574571601583689,0.056962025316455694,-2.8783690699381195,market
D,0.1,0.2,3549,0.16552793114107037,0.15440969287123132,-1.1118238269839043,market
D,0.2,0.30000000000000004,31198,0.26418564404224526,0.2668119751266107,0.2626331084365441,market
D,0.30000000000000004,0.4,3824,0.31084942303206253,0.3255753138075314,1.4725890775468875,market
D,0.4,0.5,3,0.4434156321958835,0.3333333333333333,-11.008229886255016,market
A,0.0,0.1,1570,0.07247872320160553,0.04331210191082802,-2.916662129077751,market
A,0.1,0.2,6196,0.15858415844604204,0.14057456423499032,-1.8009594211051723,market
A,0.2,0.30000000000000004,12343,0.25255551745844007,0.2364903183990926,-1.6065199059347472,market
A,0.30000000000000004,0.4,10173,0.3446000641076922,0.3421802811363413,-0.24197829713509256,market
A,0.4,0.5,4797,0.4424027981870252,0.4538253074838441,1.1422509296818872,market
A,0.5,0.6000000000000001,2117,0.5431929394315304,0.5758148323098725,3.2621892878342162,market
A,0.6000000000000001,0.7000000000000001,1027,0.6448489269587053,0.6728334956183057,2.7984568659600417,market
A,0.7000000000000001,0.8,456,0.7399138411732191,0.8026315789473685,6.271773777414936,market
A,0.8,0.9,52,0.8250099428163422,0.8076923076923077,-1.7317635124034503,market
A,0.9,1.0,1,0.9048650121890284,0.0,-90.48650121890283,market
H,0.0,0.1,583,0.06898799313893653,0.09605488850771869,2.7066895368782165,hist
H,0.1,0.2,2231,0.15562976243836843,0.1671896010757508,1.1559838637382358,hist
H,0.2,0.30000000000000004,5919,0.25608041898969425,0.2711606690319311,1.5080250042236842,hist
H,0.30000000000000004,0.4,8048,0.35079398608349893,0.3554920477137177,0.46980616302187417,hist
H,0.4,0.5,8869,0.44318412447852074,0.4368023452474913,-0.638177923102945,hist
H,0.5,0.6000000000000001,6853,0.5449467386546039,0.5333430614329491,-1.1603677221654785,hist
H,0.6000000000000001,0.7000000000000001,3084,0.6476102464332036,0.6183527885862516,-2.9257457846951995,hist
H,0.7000000000000001,0.8,1886,0.7469034994697773,0.732237539766702,-1.466595970307527,hist
H,0.8,0.9,966,0.8380952380952382,0.8209109730848861,-1.7184265010352084,hist
H,0.9,1.0,293,0.919726962457338,0.9078498293515358,-1.1877133105802185,hist
D,0.0,0.1,613,0.07277324632952692,0.10114192495921696,2.8368678629690045,hist
D,0.1,0.2,5989,0.15975455000834862,0.20170312239105026,4.194857238270163,hist
D,0.2,0.30000000000000004,22871,0.2536963840671593,0.26610117616195184,1.240479209479256,hist
D,0.30000000000000004,0.4,8694,0.3362238325281804,0.2982516678168852,-3.7972164711295164,hist
D,0.4,0.5,562,0.41583629893238433,0.31316725978647686,-10.266903914590747,hist
D,0.5,0.6000000000000001,3,0.5,0.6666666666666666,16.666666666666664,hist
A,0.0,0.1,2535,0.05844181459566074,0.06390532544378698,0.5463510848126241,hist
A,0.1,0.2,7086,0.15283940163703078,0.16977138018628282,1.6931978549252047,hist
A,0.2,0.30000000000000004,11775,0.250231847133758,0.25146496815286623,0.12331210191082187,hist
A,0.30000000000000004,0.4,7485,0.34655043420173687,0.3409485637942552,-0.5601870407481668,hist
A,0.4,0.5,5179,0.43988028576945365,0.4245993435026067,-1.5280942266846953,hist
A,0.5,0.6000000000000001,2670,0.5417378277153558,0.5209737827715356,-2.0764044943820226,hist
A,0.6000000000000001,0.7000000000000001,1181,0.6520237087214225,0.6409822184589331,-1.104149026248935,hist
A,0.7000000000000001,0.8,646,0.7451083591331269,0.7198142414860681,-2.52941176470588,hist
A,0.8,0.9,175,0.834342857142857,0.8228571428571428,-1.148571428571421,hist
H,0.0,0.1,407,0.07992628226847696,0.07371007371007371,-0.6216208558403256,adj
H,0.1,0.2,1947,0.1575590285509584,0.1314843348741654,-2.607469367679302,adj
H,0.2,0.30000000000000004,4837,0.25374485556356574,0.2464337399214389,-0.7311115642126831,adj
H,0.30000000000000004,0.4,9751,0.35108929031807584,0.34129832837657675,-0.9790961941499088,adj
H,0.4,0.5,10151,0.4472383737077249,0.4538469116343217,0.6608537926596825,adj
H,0.5,0.6000000000000001,6266,0.5462905246072696,0.552665177146505,0.6374652539235415,adj
H,0.6000000000000001,0.7000000000000001,2862,0.6433428910920713,0.6617749825296995,1.843209143762814,adj
H,0.7000000000000001,0.8,1753,0.7426729786061713,0.7626925270964061,2.0019548490234795,adj
H,0.8,0.9,736,0.8404685814751827,0.875,3.4531418524817337,adj
H,0.9,1.0,22,0.9081939385005487,0.9090909090909091,0.08969705903603131,adj
D,0.0,0.1,260,0.08631339070899775,0.06538461538461539,-2.0928775324382363,adj
D,0.1,0.2,3964,0.16400338564100406,0.16246215943491424,-0.15412262060898185,adj
D,0.2,0.30000000000000004,28444,0.26066831660102713,0.2653283645056954,0.4660047904668285,adj
D,0.30000000000000004,0.4,6062,0.31697231235615336,0.3163972286374134,-0.05750837187399882,adj
D,0.4,0.5,2,0.45287613315927466,0.5,4.712386684072534,adj
A,0.0,0.1,1822,0.0688284844687467,0.047749725576289793,-2.107875889245691,adj
A,0.1,0.2,6754,0.1598361754581009,0.14865265028131477,-1.1183525176786113,adj
A,0.2,0.30000000000000004,11802,0.25188650960592307,0.2432638535841383,-0.8622656021784775,adj
A,0.30000000000000004,0.4,9708,0.34524299278963655,0.3405438813349815,-0.46991114546550694,adj
A,0.4,0.5,4749,0.44393305580180176,0.4502000421141293,0.6266986312327527,adj
A,0.5,0.6000000000000001,2250,0.5423760978285861,0.5595555555555556,1.7179457726969494,adj
A,0.6000000000000001,0.7000000000000001,1042,0.647915323977864,0.6689059500959693,2.0990626118105316,adj
