model,n,brier,logloss,brier_vs_baseline,brier_p_value,logloss_vs_baseline,logloss_p_value,brier_skill_pct,feature_set
market,38732,0.5971471610124117,0.999073591965668,0.0,,0.0,,0.0,1x2
adj,38732,0.5974048443860734,0.9993493245221475,0.0002576833736616107,0.09237174816642546,0.0002757325564796906,0.25982918096742136,-0.04315240705905499,1x2
market,38732,0.5971471610124117,0.999073591965668,0.0,,0.0,,0.0,1x2_ou
adj,38732,0.5974682559595176,0.9994633108166162,0.0003210949471057582,0.0444324636354505,0.00038971885094837963,0.12276987868168177,-0.05377149353962274,1x2_ou
