season,league,file,n_columns,time,avg_h,max_h,b365_h,ps_h,bfe_h,avgc_h,psc_h,avg_o25,b365_o25,p_o25,avgc_o25,ah_line,avg_ahh,avgc_ahh,btts_odds,xg_post_match
1314,T1,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1314,G1,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1314,SC0,ok,68,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1314,SP2,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1314,I2,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1314,D2,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1314,F2,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,E0,ok,68,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,E1,ok,68,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,SP1,ok,67,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,I1,ok,67,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,D1,ok,67,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,F1,ok,67,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,N1,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,P1,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,B1,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,T1,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,G1,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,SC0,ok,68,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,SP2,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,I2,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,D2,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1415,F2,ok,55,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,E0,ok,65,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,E1,ok,65,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,SP1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,I1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,D1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,F1,ok,64,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,N1,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,P1,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,B1,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,T1,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,G1,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,SC0,ok,65,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,SP2,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,I2,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
1516,D2,ok,52,,BbAvH,BbMxH,B365H,PSH,,,PSCH,BbAv>2.5,,,,BbAHh,BbAvAHH,,,
